  0.434666634      0.115978070    
  0.869333267      0.230975136    
   1.30399990      0.344991207    
   1.73866653      0.458026290    
   2.17333293      0.570080280    
   2.60799980      0.681153417    
   3.04266644      0.791245520    
   3.47733307      0.900356591    
   3.91199946       1.00848651    
   4.34666586       1.11563563    
   4.78133297       1.22180378    
   5.21599960       1.32699084    
   5.65066624       1.43119693    
   6.08533287       1.53442204    
   6.51999903       1.63666594    
   6.95466614       1.73792911    
   7.38933277       1.83821130    
   7.82399893       1.93751216    
   8.25866604       2.03583241    
   8.69333172       2.13317132    
   9.12799931       2.22952938    
   9.56266594       2.32490659    
   9.99733257       2.41930246    
   10.4319992       2.51271772    
   10.8666658       2.60515189    
   11.3013325       2.69660473    
   11.7359982       2.78707671    
   12.1706657       2.87656808    
   12.6053324       2.96507788    
   13.0399981       3.05260706    
   13.4746656       3.13915539    
   13.9093323       3.22472239    
   14.3439980       3.30930829    
   14.7786655       3.39291358    
   15.2133322       3.47553730    
   15.6479979       3.55718040    
   16.0826664       3.63784266    
   16.5173321       3.71752357    
   16.9519978       3.79622364    
   17.3866634       3.87394238    
   17.8213310       3.95068073    
   18.2559986       4.02643776    
   18.6906643       4.10121393    
   19.1253319       4.17500925    
   19.5599976       4.24782276    
   19.9946651       4.31965590    
   20.4293308       4.39050817    
   20.8639984       4.46037912    
   21.2986641       4.52926922    
   21.7333317       4.59717846    
   22.1679974       4.66410637    
   22.6026649       4.73005342    
   23.0373306       4.79501963    
   23.4719963       4.85900450    
   23.9066658       4.92200899    
   24.3413315       4.98403215    
   24.7759972       5.04507399    
   25.2106647       5.10513496    
   25.6453304       5.16421509    
   26.0799961       5.22231388    
   26.5146656       5.27943277    
   26.9493313       5.33556938    
   27.3839970       5.39072561    
   27.8186646       5.44490051    
   28.2533302       5.49809456    
   28.6879959       5.55030727    
   29.1226635       5.60153961    
   29.5573311       5.65179110    
   29.9919968       5.70106030    
   30.4266644       5.74934959    
   30.8613300       5.79665756    
   31.2959957       5.84298468    
   31.7306633       5.88833046    
   32.1653328       5.93269634    
   32.5999985       5.97607994    
   33.0346642       6.01848316    
   33.4693298       6.05990505    
   33.9039955       6.10034609    
   34.3386612       6.13980579    
   34.7733269       6.17828512    
   35.2079964       6.21578360    
   35.6426620       6.25230074    
   36.0773315       6.28783607    
   36.5119972       6.32239151    
   36.9466629       6.35596561    
   37.3813286       6.38855839    
   37.8159981       6.42017078    
   38.2506638       6.45080185    
   38.6853294       6.48045254    
   39.1199951       6.50912094    
   39.5546608       6.53680897    
   39.9893303       6.56351614    
   40.4239960       6.58924246    
   40.8586617       6.61398745    
   41.2933311       6.63775158    
   41.7279968       6.66053438    
   42.1626625       6.68233633    
   42.5973282       6.70315742    
   43.0319939       6.72299767    
   43.4666634       6.74185705    
